video_id,upload_days,title,description,tags,duration,subscriber_count,view22,like_22,comment_22,view_inc_23,view_inc_24_noon,view_inc_24_night,view_inc_25_noon,view_inc_25_night,like_inc_23,like_inc_24_noon,like_inc_24_night,like_inc_25_noon,like_inc_25_night,comment_inc_23,comment_inc_24_noon,comment_inc_24_night,comment_inc_25_noon,comment_inc_25_night,like_26,comment_26,view_26
uPif3I_1Ctw,1477,0,0,0,213.96666,3410000,155165,1033,48,69,70,26,16,36,0,1,0,0,1,0,0,0,0,0,1036,48,155498
iesBQqCmwKY,144,0,0,0,74.65,393000,782,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,782
mclerzojhdw,95,1,2,19,2.8833334,0,312,2,1,6,7,4,3,1,0,0,0,0,0,0,0,0,0,0,2,1,337
N6xv9A2xN-I,1897,0,0,0,1.9333333,52400,2803,10,1,20,44,20,20,32,0,0,0,0,0,0,0,0,0,0,10,1,2954
9DskxlWy67k,678,0,0,0,109.316666,3410000,87835,5921,25,3,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,5920,25,87841
dxEjZ_TcBgQ,3048,0,0,0,4.8,3210000,1416866,9706,388,372,437,325,196,168,1,2,0,0,0,0,0,0,0,0,9709,388,1418703
uKbYokY71hc,12,1,0,0,0.35,1320000,13742,1261,79,1137,1514,492,568,399,51,74,16,40,17,0,0,0,1,3,1502,83,18630
JWY3ZpC53tQ,4407,0,0,0,0.5833333,3210000,363534,172,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,63,363534
BcWGFWbM0zU,43,2,18,13,70.583336,393000,983,31,4,6,13,7,9,5,0,0,0,0,0,0,0,0,0,0,31,4,1027
-KaeE2B3sNk,109,3,9,21,62.766666,0,103,8,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8,4,108
P_kRTqaD8Mc,58,0,0,0,3.35,50700000,2522614,54392,1403,11921,12071,3484,5046,3509,97,66,28,39,28,0,0,-1,0,0,54723,1404,2567607
JAf-_yeVZS0,2898,0,0,0,4.75,297000,92874,635,74,8,7,1,1,3,0,0,0,0,0,0,0,0,0,0,635,74,92897
lCDW5v8BfpM,1849,1,5,12,2.0166667,1710000,99042,134,0,175,158,48,50,31,1,1,0,0,0,0,0,0,0,0,136,0,99554
bQwY5gi9rF0,4574,0,0,0,0.35,3210000,60628,102,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102,15,60629
QPosTNUoysY,96,0,0,18,2.1833334,0,513,7,3,20,11,10,9,5,1,0,2,0,0,0,0,0,0,0,10,3,572
gDgSIS_ceRg,22,3,7,17,714.1,0,302809,1360,43,31575,57255,8376,21289,12301,103,165,11,69,20,-1,3,0,2,0,1801,49,456432
zM1RmjHcHsg,87,0,0,0,2.1833334,37500000,16978077,84884,0,189374,224123,47514,113069,41683,828,1173,250,580,106,0,0,0,0,0,88671,0,17775232
gi6jO5tHfR0,376,2,9,19,30.15,1710000,110629,751,54,99,116,41,42,20,0,2,0,0,1,0,0,3,0,0,754,57,110985
gi6jO5tHfR0,376,2,9,19,30.15,1710000,110629,751,54,99,116,41,42,20,0,2,0,0,1,0,0,3,0,0,754,57,110985
IUXJUyuIicU,74,3,6,21,172.7,0,1753,28,5,26,17,5,8,2,0,0,0,0,0,0,1,0,0,0,28,6,1819
K1lm9ov_kSo,16,2,7,16,78.35,27300,5441,56,4,9,5,1,1,1,0,0,0,0,0,0,0,0,0,0,56,4,5459
XzhesUdAPNo,2284,0,0,0,1.8,37500000,38130987,0,0,8038,7231,2785,2439,2380,0,0,0,0,0,0,0,0,0,0,0,0,38160656
0UFFI4iTB2s,788,0,0,0,242.31667,3410000,80587,3725,16,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3725,16,80596
T2cIvmHQEJo,11,1,17,20,297.35,1710000,125534,1166,87,19390,51443,28921,18227,7512,149,306,165,79,34,6,13,4,1,2,2058,118,277027
