video_id,view_22,like_22,subscriber_count,comment_22,view_23,like_23,comment_23,view_24,like_24,comment_24,view_24_23,like_24_23,comment_24_23,view_25_9,like_25_9,comment_25_9,view_25_17,like_25_17,comment_25_17,view_26,like_26,comment_26
pcSaUOI8nWw,692,26,393000,0,694,26,0,695,26,0,695,26,0,695,26,0,695,26,0,695,26,0
JIrRawk5ED4,2839940,12933,413000,756,2902645,13130,767,3019909,13491,783,3100921,13712,793,3166465,13916,802,3207768,13982,803,3230365,14064,807
TPLwmz34KdY,28123,265,100000,23,28128,265,23,28134,266,23,28140,266,23,28141,266,23,28144,266,23,28145,266,23
fM5DPP3eDbQ,670217,2701,1710000,171,670711,2704,171,671212,2707,171,671421,2709,171,671581,2711,171,671732,2711,171,671924,2713,171
LcXsWt3y9ZE,395988,1609,100000,76,396026,1610,76,396087,1611,76,396112,1610,76,396119,1610,76,396128,1610,76,396148,1610,76
ZTkdrKuxKNw,10584,103,52400,5,10650,103,5,10820,104,5,10905,105,5,10964,105,5,11023,105,5,11061,105,5
ySt_XmM-wJM,296,13,0,0,455,15,1,476,15,1,482,15,1,488,15,1,500,15,1,538,15,1
yJ9lN-K2VnM,464524,2299,297000,120,464555,2300,120,464592,2300,120,464602,2300,120,464615,2300,120,464623,2300,120,464650,2300,120
as3XtPDW78Y,8807640,0,37500000,0,8813814,0,0,8820007,0,0,8822352,0,0,8824671,0,0,8827052,0,0,8832881,0,0
mBsaY0OcYpY,156475,2843,297000,212,156799,2846,212,157119,2851,212,157215,2852,212,157298,2853,212,157398,2854,213,157640,2857,213
RZpBaUUDZUc,172054,388,3210000,65,172058,388,65,172063,388,65,172067,388,65,172070,388,65,172072,388,65,172075,388,65
_0A4TNrXCQ0,7872542,20499,37500000,0,7874702,20499,0,7876704,20500,0,7877467,20502,0,7878356,20502,0,7878916,20502,0,7880424,20501,0
Z8GARDESdIk,9249,78,0,5,9388,78,5,9476,78,5,9492,78,5,9514,78,5,9523,78,5,9556,78,5
fZSsf8bjIJc,238,4,100000,0,238,4,0,240,4,0,241,4,0,242,4,0,242,4,0,242,4,0
LxuKD-mMrgc,81993,104,3210000,18,81994,104,18,81994,104,18,81994,104,18,81994,104,18,81994,104,18,81994,104,18
jw9JrxmRLg0,22870412,27270,37500000,0,22875014,27282,0,22879277,27290,0,22880827,27294,0,22882358,27302,0,22883642,27303,0,22886257,27307,0
R8CBoVc_OMI,36182656,95151,3210000,2107,36386684,95691,2108,36738769,96525,2115,36892109,96876,2124,37027572,97152,2127,37096845,97266,2129,37157610,97431,2129
vf656T80L2I,371,8,393000,1,371,8,1,371,8,1,371,8,1,371,8,1,371,8,1,371,8,1
F2OpkQuOjig,114808786,303955,37500000,0,114820349,303979,0,114831775,304017,0,114835111,304023,0,114841078,304045,0,114845069,304051,0,114854948,304068,0
YXfE1vANe3Q,611712,1803,37500000,0,612585,1804,0,613341,1804,0,613635,1804,0,613799,1804,0,614030,1805,0,614587,1804,0
I9lx3zGIskY,145083,8271,8220000,704,145123,8272,704,145164,8274,704,145182,8275,704,145200,8275,704,145220,8275,704,145262,8275,703
-4_--goDv70,661731,2682,1710000,97,664653,2699,97,668713,2720,97,670535,2731,97,672445,2741,97,673494,2747,97,675055,2755,97
vmNT8f8NmLY,28275,1888,3210000,90,32002,2009,94,35484,2085,95,37170,2110,96,38519,2150,96,39454,2173,96,40707,2208,98
6hoBh-nPkgA,202346,409,37500000,0,202647,409,0,202942,409,0,203029,409,0,203109,409,0,203170,409,0,203404,410,0
lcKQS_n0ss0,13903499,32886,37500000,0,13904127,32887,0,13904625,32887,0,13904873,32887,0,13905059,32887,0,13905244,32887,0,13905600,32886,0
0Q9StqyNwkE,8569,35,52400,0,8590,35,0,8612,35,0,8636,35,0,8637,35,0,8649,35,0,8666,35,0
7YEuVo_hg1o,414607,1667,1710000,112,414966,1670,112,415261,1673,112,415388,1674,112,415560,1679,112,415616,1679,112,415775,1680,112
9mJ-aunGiLQ,12359300,31960,37500000,0,12362427,31963,0,12364742,31964,0,12365711,31965,0,12366608,31969,0,12367337,31971,0,12368863,31976,0
-xxBjssymIs,680252,2075,413000,38,680254,2075,38,680256,2075,38,680259,2075,38,680261,2075,38,680262,2075,38,680270,2075,38
sfBJZCa3Jd8,32468,324,100000,32,32482,324,32,32500,324,32,32504,324,32,32511,324,32,32515,324,32,32525,324,32
FU5AdiAf7tA,688247,1708,37500000,0,691796,1723,0,696030,1744,0,697780,1747,0,699542,1760,0,700863,1764,0,705060,1785,0
1fnW2Vq4wUE,12034,128,393000,4,12034,128,4,12035,128,4,12035,128,4,12036,128,4,12036,128,4,12036,128,4
S5go-78KzhE,56635,313,0,11,57583,315,11,58300,314,11,58547,315,11,58772,316,11,58858,316,11,59036,316,11
OwTetPicaGA,141561,1100,100000,34,141751,1102,34,142026,1103,34,142115,1103,34,142201,1103,34,142223,1103,34,142284,1104,34
iuxPDhtzZ0w,73796,331,0,8,77270,340,9,80945,355,10,81555,355,10,82410,356,10,82778,358,10,83403,361,10
SBz9cqmmcj0,2913584,4829,52400,150,2927698,4849,150,2956797,4885,152,2969288,4897,152,2985205,4911,152,2993616,4915,152,2999949,4918,152
c0yu5fwMWig,152935,1100,297000,60,152939,1100,60,152941,1100,60,152941,1100,60,152944,1100,60,152946,1100,60,152947,1100,60
DrIhXlWbntU,6861,88,393000,4,6931,88,4,6987,88,4,7008,88,4,7013,88,4,7015,88,4,7027,88,4
nM7x5dwhFXs,421125,3271,52400,139,425309,3300,141,431361,3335,143,436629,3364,145,439258,3391,148,442831,3411,148,445266,3424,148
Hfeb-5UWB9A,121069,2520,3210000,95,121084,2521,95,121098,2522,95,121109,2522,95,121112,2522,95,121114,2522,95,121119,2522,95
QwmkfqKdFeo,290013901,277588,37500000,0,290055285,277649,0,290101515,277727,0,290119451,277758,0,290138486,277793,0,290153028,277817,0,290185515,277880,0
XX9Ak2p-MZU,4300,72,393000,2,4304,72,2,4304,72,2,4304,72,2,4304,72,2,4305,72,2,4309,72,2
z87yG89m1Iw,67332059,137658,37500000,0,67342391,137659,0,67352777,137662,0,67356724,137661,0,67360466,137660,0,67364193,137660,0,67373257,137668,0
97a1bJMwUcc,27583,146,1710000,10,27637,146,10,27694,146,10,27744,146,10,27829,146,10,27868,146,10,27881,146,10
HSzm89V1_9Q,148969,1279,1710000,35,155992,1327,35,169230,1433,34,171485,1437,35,173778,1450,35,174697,1457,35,178173,1488,35
MehlTnkZXro,544941,259,52400,19,545600,259,19,546747,260,19,547298,261,19,547748,263,19,548063,264,19,548364,265,19
